,CITATION NUMBER,OFF FROM DATE,OFF TIME,RACE-ORIGIN CODE,CASE PARTY SEX,REASON FOR STOP,RACE KNOWN,VL STREET NAME,MSEARCH Y/N,MSEARCH TYPE,MSEARCH FOUND,latitude,longitude
275,13847174.0,12/30/2015 12:00:00 AM,12:38:00,,,1.0,N,5500 Block Martin Luther King Boulevard,N,,,30.28672,-97.67146
276,13847522.0,12/14/2015 12:00:00 AM,10:57:00,B,M,1.0,N,8200 BLOCK LAMAR BOULEVARD,N,,,30.350887,-97.70907
277,13847831.0,05/18/2015 12:00:00 AM,14:11:00,B,M,2.0,N,ROSEWOOD AVENUE AT,N,,,30.2702532,-97.715603
278,13847833.0,06/08/2015 12:00:00 AM,12:43:00,W,F,1.0,Y,1300 TO 1500 BLOCK,N,,,30.2873251,-97.7423781
279,13851042.0,09/28/2015 12:00:00 AM,8:27:00,H,M,1.0,N,7100 BERKMAN DRIVE,Y,3.0,6.0,30.323948,-97.68962
280,13851580.0,04/28/2015 12:00:00 AM,20:27:00,H,F,1.0,N,13000 BLOCK NORTH US 183,N,,,30.4373528,-97.77731709999999
281,13851583.0,06/06/2015 12:00:00 AM,23:15:00,W,F,1.0,Y,5300 BLOCK RESEARCH BOULEVARD,N,,,30.479105,-97.80308649999999
282,13851584.0,12/21/2015 12:00:00 AM,9:35:00,W,M,1.0,Y,13700 BLOCK US HIGHWAY 183,N,,,30.47613,-97.78126
283,13851585.0,12/21/2015 12:00:00 AM,9:57:00,W,M,1.0,N,13700 BLOCK US HIGHWAY 183,N,,,30.47613,-97.78126
284,13851586.0,12/21/2015 12:00:00 AM,10:16:00,H,F,1.0,N,13700 BLOCK US HIGHWAY 183,N,,,30.47613,-97.78126
285,13851587.0,12/21/2015 12:00:00 AM,11:13:00,W,M,1.0,N,13700 BLOCK US HIGHWAY 183,N,,,30.47613,-97.78126
286,13851588.0,12/21/2015 12:00:00 AM,20:01:00,W,F,1.0,N,13700 BLOCK US HIGHWAY 183,N,,,30.47613,-97.78126
287,13852227.0,07/24/2015 12:00:00 AM,1:15:00,W,M,1.0,N,9300 BLOCK HOTEL DRIVE,N,,,30.2127393,-97.664041
288,13852228.0,07/27/2015 12:00:00 AM,23:15:00,O,M,1.0,N,9500 BLOCK HOTEL DRIVE,N,,,30.2111868,-97.6621534
289,13852229.0,09/30/2015 12:00:00 AM,23:07:00,W,M,5.0,N,4300 BLOCK PRESIDENTIAL BOULEVARD,N,,,30.2027908,-97.66655829999999
290,13852590.0,01/02/2015 12:00:00 AM,17:50:00,W,M,1.0,N,8500 BLOCK BURNET ROAD,N,,,30.366137,-97.72817
291,13852591.0,01/12/2015 12:00:00 AM,21:36:00,H,M,1.0,N,NORTH IH 35 SERVICE ROAD,N,,,30.3747519,-97.6764406
292,13852593.0,01/19/2015 12:00:00 AM,10:34:00,H,M,1.0,N,ANDERSON LANE,N,,,30.3533425,-97.72502469999999
293,13852594.0,01/19/2015 12:00:00 AM,22:58:00,H,F,1.0,N,7500 BLOCK BURNET ROAD,N,,,30.350662,-97.73429
294,13852595.0,01/23/2015 12:00:00 AM,20:03:00,B,M,5.0,N,NORTH LAMAR BOULEVARD,N,,,30.3457517,-97.714049
